entity,decade,num_objects_launched
Algeria,2000-2010,1
Algeria,2010-2020,5
Angola,2010-2020,1
Angola,2020-2030,1
Apsco,2020-2030,1
Arabsat,1980-1990,2
Arabsat,1990-2000,4
Arabsat,2000-2010,3
Arabsat,2010-2020,5
Arabsat,2020-2030,1
Argentina,1990-2000,6
Argentina,2000-2010,5
Argentina,2010-2020,7
Argentina,2020-2030,4
Armenia,2020-2030,1
Australia,1960-1970,1
Australia,1970-1980,1
Australia,1980-1990,3
Australia,1990-2000,5
Australia,2000-2010,5
Australia,2010-2020,11
Australia,2020-2030,21
Austria,2010-2020,3
Azerbaijan,2010-2020,3
Bangladesh,2010-2020,2
Belarus,2010-2020,3
Belarus,2020-2030,1
Belgium,2010-2020,32
Belgium,2020-2030,7
Bhutan,2010-2020,1
Bolivia,2010-2020,1
Brazil,1980-1990,2
Brazil,1990-2000,10
Brazil,2000-2010,6
Brazil,2010-2020,18
Brazil,2020-2030,10
Bulgaria,2010-2020,2
Bulgaria,2020-2030,2
Canada,1960-1970,3
Canada,1970-1980,8
Canada,1980-1990,5
Canada,1990-2000,6
Canada,2000-2010,18
Canada,2010-2020,25
Canada,2020-2030,37
Chile,1990-2000,2
Chile,2010-2020,2
Chile,2020-2030,3
China,1970-1980,9
China,1980-1990,17
China,1990-2000,47
China,2000-2010,90
China,2010-2020,395
China,2020-2030,493
Colombia,2000-2010,1
Colombia,2010-2020,1
Colombia,2020-2030,1
Costa Rica,2010-2020,1
Czechia,1970-1980,1
Czechia,1980-1990,1
Czechia,1990-2000,3
Czechia,2000-2010,1
Czechia,2010-2020,1
Czechia,2020-2030,4
Denmark,1990-2000,1
Denmark,2000-2010,3
Denmark,2010-2020,8
Denmark,2020-2030,2
Djibouti,2020-2030,1
Ecuador,2010-2020,2
Egypt,1990-2000,1
Egypt,2000-2010,2
Egypt,2010-2020,6
Egypt,2020-2030,3
Estonia,2010-2020,2
Estonia,2020-2030,1
Ethiopia,2010-2020,1
Eumetsat,1980-1990,1
Eumetsat,1990-2000,3
Eumetsat,2000-2010,4
Eumetsat,2010-2020,4
Eumetsat,2020-2030,1
European Space Agency,1960-1970,7
European Space Agency,1970-1980,12
European Space Agency,1980-1990,10
European Space Agency,1990-2000,12
European Space Agency,2000-2010,29
European Space Agency,2010-2020,30
European Space Agency,2020-2030,4
European Union,2010-2020,22
European Union,2020-2030,2
Eutelsat,1980-1990,3
Eutelsat,1990-2000,11
Eutelsat,2000-2010,17
Eutelsat,2010-2020,2
Finland,2010-2020,7
Finland,2020-2030,21
France,1960-1970,6
France,1970-1980,16
France,1980-1990,5
France,1990-2000,16
France,2000-2010,19
France,2010-2020,56
France,2020-2030,33
Germany,1960-1970,1
Germany,1970-1980,9
Germany,1980-1990,7
Germany,1990-2000,18
Germany,2000-2010,27
Germany,2010-2020,37
Germany,2020-2030,21
Ghana,2010-2020,1
Greece,2000-2010,1
Greece,2010-2020,2
Greece,2020-2030,2
Guatemala,2020-2030,1
Hungary,2010-2020,3
Hungary,2020-2030,2
India,1970-1980,2
India,1980-1990,11
India,1990-2000,15
India,2000-2010,26
India,2010-2020,65
India,2020-2030,25
Indonesia,1970-1980,2
Indonesia,1980-1990,3
Indonesia,1990-2000,6
Indonesia,2000-2010,3
Indonesia,2010-2020,7
Indonesia,2020-2030,2
Inmarsat,1970-1980,3
Inmarsat,1980-1990,2
Inmarsat,1990-2000,9
Intelsat,1960-1970,9
Intelsat,1970-1980,14
Intelsat,1980-1990,14
Intelsat,1990-2000,19
Intelsat,2000-2010,1
Intelsat,2010-2020,3
Intersputnik,1990-2000,1
Iran,2000-2010,2
Iran,2010-2020,3
Iran,2020-2030,4
Ireland,2020-2030,1
Israel,1980-1990,1
Israel,1990-2000,4
Israel,2000-2010,7
Israel,2010-2020,12
Israel,2020-2030,21
Italy,1960-1970,3
Italy,1970-1980,3
Italy,1980-1990,1
Italy,1990-2000,7
Italy,2000-2010,11
Italy,2010-2020,19
Italy,2020-2030,30
Japan,1970-1980,18
Japan,1980-1990,27
Japan,1990-2000,36
Japan,2000-2010,66
Japan,2010-2020,122
Japan,2020-2030,56
Jordan,2010-2020,1
Kazakhstan,2000-2010,1
Kazakhstan,2010-2020,8
Kenya,2010-2020,1
Kuwait,2020-2030,1
Laos,2010-2020,1
Latvia,2010-2020,1
Lithuania,2010-2020,4
Lithuania,2020-2030,8
Luxembourg,1980-1990,1
Luxembourg,1990-2000,8
Luxembourg,2000-2010,8
Luxembourg,2010-2020,22
Luxembourg,2020-2030,47
Malaysia,1990-2000,2
Malaysia,2000-2010,4
Malaysia,2010-2020,3
Malaysia,2020-2030,2
Mauritius,2020-2030,1
Mexico,1980-1990,2
Mexico,1990-2000,4
Mexico,2000-2010,1
Mexico,2010-2020,8
Mexico,2020-2030,3
Moldova,2020-2030,1
Monaco,2020-2030,1
Mongolia,2010-2020,1
Morocco,2000-2010,1
Morocco,2010-2020,2
Nato,1970-1980,3
Nato,1980-1990,1
Nato,1990-2000,1
Nepal,2010-2020,1
Netherlands,1970-1980,1
Netherlands,2000-2010,1
Netherlands,2010-2020,8
Netherlands,2020-2030,6
New Zealand,2010-2020,2
New Zealand,2020-2030,24
Nigeria,2000-2010,1
Nigeria,2010-2020,3
North Korea,2010-2020,2
North Korea,2020-2030,1
Norway,1990-2000,2
Norway,2000-2010,3
Norway,2010-2020,8
Norway,2020-2030,7
Pakistan,1990-2000,1
Pakistan,2000-2010,1
Pakistan,2010-2020,4
Papua New Guinea,2010-2020,2
Paraguay,2020-2030,1
Peru,2010-2020,4
Philippines,1990-2000,1
Philippines,2010-2020,3
Philippines,2020-2030,5
Poland,2010-2020,6
Poland,2020-2030,9
Portugal,1990-2000,1
Qatar,2010-2020,1
Rascom,2000-2010,1
Rascom,2010-2020,1
Romania,2010-2020,1
Russia,1950-1960,6
Russia,1960-1970,400
Russia,1970-1980,1034
Russia,1980-1990,1141
Russia,1990-2000,514
Russia,2000-2010,217
Russia,2010-2020,254
Russia,2020-2030,157
Rwanda,2020-2030,4
Saudi Arabia,2000-2010,12
Saudi Arabia,2010-2020,3
Saudi Arabia,2020-2030,2
Sea Launch,1990-2000,1
Singapore,1990-2000,1
Singapore,2010-2020,12
Singapore,2020-2030,11
Slovakia,2010-2020,1
Slovakia,2020-2030,1
Slovenia,2020-2030,3
South Africa,1990-2000,1
South Africa,2000-2010,1
South Africa,2010-2020,3
South Africa,2020-2030,4
South Korea,1990-2000,7
South Korea,2000-2010,4
South Korea,2010-2020,26
South Korea,2020-2030,25
Spain,1970-1980,1
Spain,1990-2000,4
Spain,2000-2010,6
Spain,2010-2020,14
Spain,2020-2030,28
Sri Lanka,2010-2020,1
Starsem,2000-2010,2
Sweden,1980-1990,4
Sweden,1990-2000,5
Sweden,2000-2010,4
Sweden,2010-2020,6
Sweden,2020-2030,1
Switzerland,2000-2010,1
Switzerland,2010-2020,3
Switzerland,2020-2030,15
Taiwan,1990-2000,1
Taiwan,2000-2010,7
Taiwan,2010-2020,7
Taiwan,2020-2030,6
Thailand,1990-2000,4
Thailand,2000-2010,3
Thailand,2010-2020,4
Thailand,2020-2030,4
Tunisia,2020-2030,1
Turkey,1990-2000,2
Turkey,2000-2010,4
Turkey,2010-2020,7
Turkey,2020-2030,9
Turkmenistan,2010-2020,1
Uganda,2020-2030,1
Ukraine,1990-2000,1
Ukraine,2000-2010,2
Ukraine,2010-2020,5
Ukraine,2020-2030,2
United Arab Emirates,2000-2010,4
United Arab Emirates,2010-2020,6
United Arab Emirates,2020-2030,12
United Kingdom,1960-1970,5
United Kingdom,1970-1980,9
United Kingdom,1980-1990,7
United Kingdom,1990-2000,11
United Kingdom,2000-2010,17
United Kingdom,2010-2020,67
United Kingdom,2020-2030,649
United States,1950-1960,18
United States,1960-1970,631
United States,1970-1980,295
United States,1980-1990,207
United States,1990-2000,504
United States,2000-2010,337
United States,2010-2020,1319
United States,2020-2030,6321
Uruguay,2010-2020,6
Uruguay,2020-2030,34
Venezuela,2000-2010,2
Venezuela,2010-2020,2
Vietnam,2000-2010,1
Vietnam,2010-2020,5
Zimbabwe,2020-2030,1
